page_no|page_text|gloss_thing
15a| И пакꙑ: мѹдрость плътьнаꙗ съмрьть: а мѫдрость дх҃вьнаꙗ жиꙁнь и миръ: добро бо ѥсть благодѣтиѭ ѹтврьждати срьдьце а не брашънꙑ: И па҇ⷦ: нѣсть бо цр҃со неб҃сноѥ: брашъно и питиѥ: нъ правьда и радость: и миръ о д҃сѣ с҃тѣ: а не пища и жъраниѥ: ꙗкоже ѥ речено: ѥже сънищеть сѧ въ прѣстѹплениѥ пища чрьвьмъ: ѹпитѣниѥ бо ничътоже ино ѥсть:|
15b| нъ ꙗдь гадомъ: Ꙗкоже и иꙗковъ поносѧ чрѣвѹ рабомъ: ѱааше г҃лѧ: веселисте сѧ на ꙁемли и насладисте сѧ: ѹпитѣсте ср҃дцѧ ваша ꙗко въ дьнь ꙁаколениꙗ: и г҃ь же беꙁвѣрьнꙑимь июдеомъ рече: аминь глаголю вамъ: ищете мене не ꙗко видѣсте ꙁнамениѥ: нъ ꙗко ꙗсте ѡтъ хлѣбъ и насꙑтисте сѧ: и приносить: не дѣлаите брашъна|
15c| гꙑблющааго: нъ прѣбꙑваѭщеѥ въ жиꙁнь вѣчънѹѭ: ѥже с҃нъ члв҃ѣчь дасть вамъ: томѹ слава: въ вѣкꙑ вѣкомъ АМИН е҃ ⁘ Ꙍ ПЬꙖНЬСтВѢ ⁘ Пиꙗньство: паче лихоꙗдиꙗ тѧжъчѣѥ ѥсть: и ꙁѣло отъречено ѥсть: с҃тꙑими кънигами:|
15d| ибо неподобьно ѥсть симь величати сѧ: ꙗкоже етери сѹѥмѫдрии: ѹпиваниѥмь хвалѧть сѧ: виньноѥ бо лихопитиѥ: ничъсоже иного подаваѥть: нъ истѹплениѥ ѹма и нищетѹ: и тѣло немощъно и слабо съдѣваѥть: добро ѹбо и приꙗтьно ѥсть: немощи ради плътьнꙑꙗ: мало вина пивати: ꙗкоже бо ꙁемлꙗ съгода напаꙗѥма:|
16a| чисто въсѣаноѥ въ ню сѣмѧ: съ прибꙑткомь въꙁдращаѥть: многами же тѹчѧми ѹмлачѧѥма: трьниѥ растить и бꙑлиѥ тъчиѭ: тако и ꙁемлѧ срьдьчънаꙗ: аще по малѹ вино пиѥмъ: чиста ѥстьствьнаꙗ ѥꙗ въꙁдаваѥть сѣмена: аще ли раꙁмокла многꙑими питии бѹдеть: то трьниѥ истиноѭ родить: вьсѧ|
16b| своꙗ ꙁълꙑꙗ мꙑсли: не тъчиѭ же се: нъ и творить ѹпиваѭщааго сѧ: отъ беꙁѹмьнꙑхъ порѹганиѭ: отъ мѹдрꙑхъ же плаканиѭ: Ноѥ бо рече: б҃жиѥ ѱаниѥ: мѫжъ правьдьнъ пи вино: и ѹпи сѧ: и лежааше нагъ: и не ꙗко пиꙗничивъ бѣ правьдьникъ: нъ не обꙑклъ виньнааго питиꙗ: и отъ беꙁѹмьнаго же хама посмиꙗнъ бꙑсть: отъ мѹдрѫѭ же сн҃овѹ покръвенъ:|
16c| Бѣжимъ ѹбо братиѥ: пьꙗньствьнааго бѣса: да не порѹгани имь бѫдемъ: нъ паче трѣꙁвлениѥмъ сѧ ѹтврьдимъ: да бѫдеть цѣлъ ѹтрьнии члв҃къ съ владꙑчънимь: Ꙗкоже и притъчъникъ ꙁаповѣдаѥть г҃лѧ: не бѫди винопиицѧ: вьсѧ бо пиꙗницѧ обнищаѥть: И па҇ⷦ: комѹ лютѣ и комѫ млъва: комѹ сѹди: и комѫ скарѣдиꙗ|
16d| и пьрѧ: комѫ съкрѹшениꙗ въ тъще: комѹ сини очи: не прѣбꙑваѭщиимъ ли въ винѣ: не наꙁираѭщиимъ ли къде пирове бꙑваѭть: И прирече: не ѹпиваите сѧ виномь: нъ бесѣдѹите члв҃комъ правьдьномъ: и инъ рече: въ винѣ не мѹжаи сѧ: многꙑ бо погѹби вино: И па҇ⷦ: иже ѥсть слащъ въ съньмищихъ винѹ: въ своихъ тврьдьхъ|
17a| оставить досаждениѥ: И па҇ⷦ: не бѹди винопиицѧ: не польꙁѹѥть бо беꙁѹмьнѹмѹ пища: И па҇ⷦ: неистовьно и дадительно пиꙗньство: вьсь же примѣшаꙗи сѧ сихъ: не бѹдеть мѫдръ: И про҇ⷦ ѡсие: о древльниїхъ людехъ: вина и пиꙗньства пожидеть ср҃це людии моихъ: Исаиа же окаꙗѩ• въ винѣ прѣбꙑваѭщаꙗ гл҃ааше: лютѣ квасъ гонѧщиимъ:|
17b| жидѹщиимъ вечера: вино бо ꙗ съжъжеть: И па҇ⷦ: прѣльщени сѫть: И иоиль такожде въпиѥть: истрѣꙁвѣите ѹпиваѭщии сѧ отъ вина ихъ: плачите и рꙑдаите сѧ вьси: пиѭщии вино въ пиꙗньство: плакати сѧ и рꙑдати повелѣно ѥсть винопитиꙗ любителемъ: въ истинѹ бо лихотьнꙑихъ чл҃къ ѥсть пиꙗньство: и обльщенꙑихъ Ꙗкоже и їѡвъ на етерꙑ молѧ сѧ рече|
17c| да ꙁаблѹдѧть: ꙗко пиꙗнꙑи: и хотѧщии чистѣ пожити сего ошаваѭть сѧ: и по правѹмѹ пѫти беꙁблаꙁньнѣ ходѧть: Слꙑшаще ап҃ла гл҃ѫща: не ѹпиваите сѧ виномь: въ немьже ѥсть не сп҃сениѥ: И па҇ⷦ: пиꙗница цср҃ства бж҃иꙗ не наслѣдѧть: И питаѭщиꙗ сѧ въдовицѧ жива ѹмрѣ: И прирече: сего ради не бѹдѣте беꙁѹмьни: нъ раꙁѹмѣите|
17d| чъто ѥсть волѧ бж҃иꙗ: вьси бо стѹдовьнии врѣди: отъ пиꙗньства въꙁницѧѭть: Ꙗкоже и дв҃дъ рече: нощъ просвѣщениѥ въ пищи моѥи: сирѣчъ• нощъ бѣ о мънѣ окаанѣмь: и не раꙁѹмѣахъ: пищѫ• нощъ именѹꙗ: ибо мракъ и тьма ѥсть винопитиѥ: ѹпиваѭщии бо сѧ⸱ нощиѭ ѹпиваѭть сѧ по ап҃лѹ: написаниѥ бо ѥже о лотовѹ дъщерѹ:|
18a| волеѭ прѣминѹ: г҃ь же прииꙁвѣщаꙗ прѣждереченаꙗ: вьсѣмъ ꙁаповѣдаѥть г҃лѧ: блюдѣте сѧ еда отѧгъчѧѭть ср҃ца ваша обѣданиѥмь: И пиꙗньствомь: и печѧльми житиисками: томѹ слава въ вѣкꙑ вѣкомъ АМИН Ꙅ҃ О ВЪꙀДРЬЖАНИИ ⁘|
18b| Въꙁдрьжаниѥ вьсѣмъ ѹбо потрѣбьно ѥсть: паче же хотѧщиимъ б҃ѹ ѹгодити: въꙁдрьжаниѥ же рѣхомъ: не отъ брашънъ тъчиѭ: нъ обьдрьжъноѥ: сирѣчъ: ошааниѥ вьсѣхъ отъреченꙑихъ: подобаѥть же въꙁдрьжащѹмѫ сѧ: вьсего въꙁдрьжати сѧ по ап҃лѹ: ꙗкоже бо чловѣкѹ ѡтъꙗтъ котерꙑи любо ѹдъ: вьсь чл҃вчь|
18c| ѹже обраꙁъ беꙁ лѣпотꙑ сътворить: такоже и їже и о единои дѣтели небрегъ: вьсу въꙁдрьжаниꙗ просмрадить лѣпотѹ: трѣбѣ ѹбо ѥсть: не тъчиѭ тѣлесьнꙑихъ добродѣтелиї болѣꙁньно любити: нъ и ѭтрьнѧаго чловѣка чистити могѹщиихъ: въꙁдрьжаниꙗ бо дѣло ѥсть: еже кромѣ бꙑти вьсеꙗ скотьнꙑꙗ сласти: и ничъсоже чрѣсъ|
18d| волю ꙁаповѣдиї бж҃ии творити: въꙁдрьжаниѥ ѥсть: ѹꙁда въстѧꙁаѭщи: на брашъно: и на имѣниѥ: и + славѹ: пожелѣньнааго ѹстрьмлениꙗ: нѣсть бо чъсо благꙑихъ сътѧжѧти бес трьпѣниꙗ: и родительнааго вьꙁдрьжаниꙗ: въ трьпѣнии бо вашемь сьтꙗжите дш҃а вашꙗ: хотѧи бо исправити вьꙁдръжание: часто млт҃вꙋ да творите: беспрѣстани бо мл҃твѹ дѣите рече: мл҃тва|+ на
19a| и вьꙁдрьжание праꙁнить ѹма: ѿ мирьскꙑихь сластии: и ѿ всѧкого дѣланиꙗ вьслаплꙗеть: пльть и крьвь рече: ап҃ль пльтьскыꙗ страсти: и ниꙁьвлачашта ѹма вь хотѣние свое ꙁане рече пльть и крьвь: црс҃твиꙗ бж҃иꙗ не имать наслѣдовати: си пльть: пишта есть чрьв͗мь: вьнегда приближать сꙗ на мꙗ• ꙁьлобꙋѫштеи• сьнѣсти пльтии моихь• иже ѹбо вьꙁдрьжанием͗|
19b| истаить пльть своѫ• гладомь ꙁаморить бѣсꙑ: и немоштьнѣишаꙗ на своѫ брань сьдѣваеть• трѣбѣ ѹбо есть ꙗкоже речено: всѣми чѹвьствии вьꙁдрьжати сꙗ ꙁьрѣниемь• слѹхомь• обонꙗниемь• ꙗꙁыкомь же и• чрѣвомь: и косениемь: стѹпаниемь• нелѣпомь• и прочиими: подобаеть бо вьꙁдрьжьникѹ: всѧкоꙗ стѹдовьныꙗ сласти: и желаниꙗ вышьшѹ быти• вьꙁдрьжание|
19c| бо рачителе ꙗвѣ тѣломь сьдрави сѹт: а ѹмомь цѣли дш҃а веселꙗште: радостиѫ ꙗже кь б҃ѹ: ѹма ѿ ꙁемьныхь: ѿстѹпльшꙗ• а вышьниихь желаѫшта• вьсꙗкого сластохотѣниꙗ• тѹждї сѹште: прокое ненавистьници• страстемь: а бг҃олюбьци обрѣтаѫть сꙗ: млт҃ва же ихь чиста къ гв҃и и сь анг҃лы славꙗть б҃а: рекошꙗ же и книгы: вь слѣдь похотии своихь не ходи• и ѿ желаемыихь|
19d| си вьꙁбранꙗи• и не весели сꙗ м͗ноꙁѣ брашьнѣ: и не прѣсыштаи сꙗ вь вьсꙗкои пишти• и не раꙁливаи сꙗ• на раꙁличьна брашьна• вь мноꙁѣ бо брашънѣ недѹгь бѹдеть: вьнимаꙗи же приложить животѣ: блаженыи же д҃дь покаꙁаꙗ сьврьшеное вьꙁдрьжание рече: присвꙗнѹхь ꙗко сѣно• исьше и ср҃дце мое ꙗко ꙁьбыхь сьнѣсти хлѣба моего: ѿ гласа вьꙁдыханиꙗ моего: прильпе пльть моꙗ кости моеи:|
20a| и пакы ꙁане попель ꙗко хлѣбь ꙗхь: питие мое сь плачем͗ растварꙗхь: павьль же рече: ѹмрьтвите ѹды вашꙗ ꙁем͗ныꙗ• и пакы очистимь себе братиꙗ ѿ в͗сꙗкоꙗ скврьны пльти• и дх҃а• сьдѣваѫште ст҃ынѫ вь страсѣ бж҃ии: да бѹдемь цр҃кꙑ б҃а жива• и петрь подадите вь вѣрѣ вашеи добрѹ дѣтель• а въ дѣтели раꙁѹмь• а вь раꙁѹмѣ• вьꙁдрьжание• и трьпѣние• трѣбѣ ѹбо есть• присно трѣꙁвити сꙗ и бьдѣти• и вышьниихь|
20b| искати и мѹдровати• по ꙁаповѣди г҃ни гл҃ѫшти• да бѹдѹть чрѣсла ваша прѣпоꙗсана• и свѣтильници горѹште и вы подобьни члк҇ⷪмь• чаѫштемь г҃а своего• когда вьꙁвратить сꙗ ѿ бракь• да пришьдьшѹ и тлькновьшѹ: абие ѿврьꙁѹть сꙗ емѹ• и приводить• блажени раби ти ꙗже г҃ь пришьдь обрѧштеть тако творꙗшта: амин гл҃ѫ вамь• ꙗко прѣпоꙗшеть сꙗ• и посадить ꙗ• и минѫвь послѹжить им|
20c| томѹ слава вь вѣкы вѣкомь АМИН ꙁ҃ О ПОСТѢ Чрьнориꙁьць хотꙗ чистомь постомь: себе б҃ꙁѣ присвоити• сѹштее истовое поштение: дльжьнь есть• иꙁволити• а не пораблꙗти сꙗ страстемь• и велїе беꙁмьвие дѣати выинѫ и таковыи ан҃гломь ретить• и сь правьдьникы ликѹеть• свобаждаемь бо ꙁемьныихъ|
20d| на небесьскаꙗ тьштит сѧ• сьде дрꙗселѹꙗ• онамо свѣтьлить сꙗ сьде нѹдꙗ себе• тамо почиваеть• подобьнь бо есть постьникь фѹниковѹ цвѣтѹ: гл҃емꙋмѹ алаѳиѫ: ꙗко вьнѣѫдѹ ѹбо есть дрꙗхлоблѣштьн• ѫтрьюдѣже снѣжань• и многоплодьн͗• такожде и постьникь• вьнѣѫдѹ сѣтѹеть• а ѫтрьѭдѹ свѣтьль сы кь б҃ѹ: дрьꙁновениемь бесѣдѹеть• ел͗ми бо рече• вьнѣшьнии нашь чл҃кь растьлѣваеть: тольми|
21a| ѫтрьни понавлꙗеть сꙗ: дьнь аче д҃нь• пость ѹбо есть• еже не тьчьѫ поꙁдѣ ꙗдати• нь еже мало ꙗсти• и не еже черес͗ д͗нь ꙗсти• се поштение есть• нь еже нераꙁличьна брашьна ꙗсти• поштение бо истинно есть• трꙗпеꙁа единѣмь брашьномь ѹстроена• пость же беꙁѹмьнъ есть• иже ѹставьнааго врѣмене жидеть вь годь• еже ꙗстии и• беꙁ вьстꙗгноваениꙗ• кь трꙗпеꙁѣ влѣчеть• и сь пльтиѫ ѹма|
