3563,кьнігъі
46,не
3284,мьніте
86,ѣко
1560,прідъ
4435,разорітъ
2074,закона
61,лі
4314,прркъ
46,не
1560,прідъ
4435,разорітъ
68,нъ
4867,ісплънітъ
1884,амінъ
223,глѭ
207,вамъ
2882,доідеже
4478,прѣідетъ
1927,нбо
15,і
1527,землѣ
1861 142,піс|мѧ
431,едіно
61,лі
2048,едіна
1299 116,чръ|та
46,не
4478,прѣідетъ
74,отъ
2074,закона
2882,доідеже
224,вьсѣ
705,бѫдѫтъ
182,іже
66,бо
4435,разорітъ
1758,едінѫ
1149 15,заповѣді|і
616,сіхъ
2107 123,малъі|іхъ
15,і
1312 38,наоучі|тъ
244,тако
3783,члкъі
87 753,мь|неі
3051,наречетъ
57,сѧ
39,въ
393 2149,цр|ствѣ
492 131 1070,нб|сь|нѣмъ
16,а
182,іже
4867,ісплънітъ
15,і
1312 38,наоучі|тъ
131,сь
3788,велеі
3051,наречетъ
57,сѧ
39,въ
393 2149,цр|ствѣ
1358 1070,нбс|нѣмъ
17,в
393 361,цр|стві
492 13,нб|м
39,въ
393 2149,цр|ствѣ
1358 1070,нбс|нѣмъ
1519 1848,просѧ|штоумоу
37,оу
523,тебе
55 15,да|і
15,і
701 1004,хотѧ|штааго
107 975,за|ѧті
46,не
4844,отъвраті
2398,слъішасте
86,ѣко
3859,речено
140,естъ
1842,възлюбі
98 12 2030,іс|к|нѣаго
435,своего
15,і
3593 642,възнена|віді
4369,врага
435,своего
582,азь
41,же
223,глѭ
2627,вамь
2349,любіте
1984,врагъі
1820,вашѧ
873 65,бл|те
2913 147 567,клъ|нѫ|штѧѧ
138,въі
576,добро
1192,творіте
2111 496,ненавідѧ|штіімъ
2403,вась
15,і
2231,моліте
107,за
619 285,творѧ|штѧ
207,вамъ
1682 169,напа|сть
15,і
4191 567,ізгонѧ|штѧѧ
138,въі
55,да
950,бѫдете
2729,снве
539,оца
1551,вашего
182,іже
140,естъ
47,на
9 22 549,н|с|хь
242,ѣкоже
15,і
810 9 233,слъ|н|це
340,свое
2010 217,сіѣ|етъ
47,на
198 344 23,зь|лъі|ѧ
15,і
47,на
1344 23,благъі|ѧ
15,і
126 14 428,дь|ж|дітъ
47,на
1575 387,праведъ|нъіѧ
15,і
47,на
46 1575 387,не|праведъ|нъіѧ
15,і
163,аште
2349,любіте
2303 567,любѧ|штѧѧ
138,въі
2211,кѫѭ
3856,мъздѫ
921,імате
46,не
15,і
3606,мъітарі
61,лі
2348,тожде
1415,творѧтъ
15,і
163,аште
162 314 351,цѣ|лоу|ете
769,дроугъі
1820,вашѧ
3798,тькмо
268,что
3906,ліхо
1192,творіте
46,не
15,і
3606,мъітарі
61,лі
830,такожде
1415,творѧтъ
2247,бѫдѣте
180,оубо
138,въі
3319 43,съвръше|ні
242,ѣкоже
15,і
638,оць
2375,вашь
1358 108,нбс|нъі
990 1806,съвръ|шенъ
140,естъ
2051 3561,въне|млѣте
2799 228 276,мл|стъі|нѧ
1820,вашѧ
46,не
1192,творіте
3538,прѣд
3783,члкъі
55,да
4368,відімі
950,бѫдете
792,імі
163,аште
61,лі
41,же
43,ні
3295 213,мьз|дъі
46,не
921,імате
74,отъ
539,оца
1551,вашего
182,іже
140,естъ
47,на
1358 8,нбс|х
246,егда
180,оубо
1192,творіте
4937,мілостъінѭ
46,не
39 42 176 141 65,въ|ст|рѫ|бі|те
319,прѣдъ
1200,собоѭ
242,ѣкоже
15,і
4586,упокріті
1415,творѧтъ
39,въ
3746 528,сьньмі|штііхъ
55,да
904 597,просла|вѧтъ
57,сѧ
179,от
7 260,ч|кь
573,амін
223,глѭ
2271,вам
394 3091,въс|пріімѫтъ
3856,мъздѫ
554,своѭ
281,тебѣ
41,же
619 251,творѧ|штоу
4937,мілостъінѭ
55,да
46,не
405 217,чоу|етъ
284 15 175,шоу|і|ца
411,чьто
880,творітъ
3111,десніца
454,твоѣ
55,да
273,бѫдетъ
3430 43,мілостъі|ні
454,твоѣ
39,въ
2992,таінѣ
15,і
638,оць
386,твоі
4705,відѧі
229,тѧ
39,въ
2992,таінѣ
3251,въздастъ
281,тебѣ
1668,ѣвѣ
15,і
246,егда
13 61 106,м|лі|ші
57,сѧ
46,не
869,бѫді
86,ѣко
15,і
2851 85,ліцемѣ|рі
86,ѣко
58,ті
660 167,люб|ѧтъ
47,на
3746 528,сьньмі|штііхъ
15,і
39,въ
169 27 2730,сть|г|нахъ
15,і
47,на
4222 2418,распѫті|іх
781 84,стоѧ|ште
2397,моліті
57,сѧ
55,да
32 597,ѣ|вѧтъ
57,сѧ
269 313,чл|комъ
573,амін
223,глѭ
2271,вам
394 78 418 31,въс|прі|імѫ|т
3856,мъздѫ
554,своѭ
183,тъі
41,же
246,егда
295 106,молі|ші
57,сѧ
715 73,въні|ді
39,въ
4839,клѣть
829,твоѭ
15,і
3415,затворі
1787,двьрі
1013,твоѧ
15,і
1491,помолі
57,сѧ
1603,оцоу
1249,твоемоу
39,въ
2992,таінѣ
15,і
638,оць
386,твоі
4705,відѧі
229,тѧ
39,въ
2992,таінѣ
3251,въздастъ
281,тебѣ
1668,ѣвѣ
2799 65,мл|те
41,же
57,сѧ
15,і
46,не
3906,ліхо
1280 65,глі|те
86,ѣко
15,і
575 153 475,ѧзъі|чь|ніці
87 1193,мь|нѧтъ
66,бо
57,сѧ
86,ѣко
60,вь
1427,мнозѣ
112 220,гла|ніі
2018,своемъ
1092 43,оуслъіша|ні
1118 31,бѫдѫ|т
46,не
1380 65,подобі|те
57,сѧ
180,оубо
114,імъ
1042,вѣстъ
66,бо
638,оць
64 1,ва|ш
2404,іхъже
1338 351,трѣбоу|ете
443,прѣжде
135 2226,про|шеніѣ
1551,вашего
807,сіце
41,же
2231,моліте
57,сѧ
1261,оче
1289,нашъ
182,іже
243,есі
47,на
3429,нбсі
55,да
2969,стітъ
57,сѧ
385,імѧ
305,твое
55,да
669,прідетъ
2405,црство
305,твое
55,да
4077,бѫдет
2447,волѣ
454,твоѣ
86,ѣко
47,на
3429,нбсі
15,і
47,на
611,земі
452 215,хлѣ|бь
1922,нашь
47 145 304 108,на|сѫ|шть|нъі
1604,даждъ
378,намъ
509 22,дьне|с
15,і
550,оставі
4710,нам
1084 203,длъ|гъі
1718,нашѧ
86,ѣко
15,і
184,мъі
2169 286,оставлѣ|емъ
3340 1475,длъжь|нікомъ
4142,нашімъ
15,і
46,не
60 101 73,вь|ве|ді
594,насъ
39,въ
551 1063,іскоу|шеніе
68,нъ
959,ізбаві
108,нъі
179,от
1451 1370,лѫка|вааго
86,ѣко
305,твое
593,есть
2405,црство
15,і
1573,сіла
15,і
2106,слав
17,в
1007,вѣкъі
573,амін
163,аште
4414 65,отпоусті|те
4550,члкмъ
1038 2226,съгрѣ|шеніѣ
2418,іх
2597,отъпоустітъ
15,і
207,вамъ
638,оць
1669,вашъ
4647 108,нбсъ|нъі
163,аште
61,лі
46,не
988 65,отъпоусті|те
4550,члкмъ
1038 2713,съгрѣ|шеніі
123,іхъ
43,ні
638,оць
1669,вашъ
1358 108,нбс|нъі
2597,отъпоустітъ
207,вамъ
1038 2713,съгрѣ|шеніі
1271 8,ваші|х
246,егда
41,же
2588 65,пості|те
57,сѧ
46,не
2247,бѫдѣте
86,ѣко
37 2147 58,оу|покръі|ті
122 247 310,сѣ|тоу|ѭште
2796 2408 388 241,прос|мра|жда|ѭтъ
66,бо
1110,ліца
1410,своѣ
55,да
57 166,сѧ|бѫ
1542 61,аві|лі
3816,чкомъ
51 1403 84,по|стѧ|ште
573,амін
223,глѭ
2271,вам
86,ѣко
394 3091,въс|пріімѫтъ
3295 146,мьз|дѫ
554,своѭ
183,тъі
41,же
51 1403,по|стѧ
57,сѧ
1170 111,пома|жі
1340,главѫ
554,своѭ
15,і
694,ліце
340,свое
1229 15,оумъі|і
55,да
46,не
1542 106,аві|ші
57,сѧ
4550,члкмъ
51 1403,по|стѧ
68,нъ
1603,оцоу
1249,твоемоу
182,іже
140,естъ
39,въ
2992,таінѣ
15,і
638,оць
386,твоі
4705,відѧі
229,тѧ
39,въ
2992,таінѣ
936 169,възда|сть
281,тебѣ
3090,авѣ
46,не
131 1783 64 334,сь|кръі|ва|іте
356,себѣ
1796 513,съкрові|штъ
47,на
611,земі
579,ідеже
1299 60,чръ|вь
15,і
1925,тьлѣ
128 61 128,ть|лі|ть
579,ідеже
4026 10,таті|е
714 3854 3440,подъ|копа|ваѭтъ
15,і
581 146 31,кра|дѫ|т
1635 64 334,съкръі|ва|іте
41,же
356,себѣ
3057,съкровішта
47,на
3429,нбсі
579,ідеже
43,ні
1299 39,чръ|въ
43,ні
1925,тьлѣ
128 1029,ть|літъ
579,ідеже
4026 10,таті|е
46,не
714 3854 3440,подъ|копа|ваѭтъ
43,ні
581 406,кра|дѫтъ
579,ідеже
66,бо
140,естъ
4184,съкровіште
580,ваше
247,тоу
15,і
3442 233,срьд|це
580,ваше
2143 2804,свѣтіль|нікь
4582,тѣлоу
140,естъ
1677,око
163,аште
180,оубо
273,бѫдетъ
1677,око
305,твое
3140,просто
1347,все
699,тѣло
305,твое
3500,свѣтъло
273,бѫдетъ
163,аште
61,лі
1677,око
305,твое
1451 52,лѫка|во
273,бѫдетъ
346,вьсе
699,тѣло
305,твое
65 197,те|мно
273,бѫдетъ
163,аште
180,оубо
818,свѣтъ
182,іже
39,въ
281,тебѣ
2077,тъма
140,естъ
81,то
128 105,ть|ма
3151,кольмі
538 1391,ніко|тоже
66,бо
932,рабъ
46,не
612,можетъ
3235,дьвѣма
27 73 4635,г|ді|нома
4450,работаті
1114,любо
812,едіного
3593 642 31,възнена|віді|т
16,а
926 172,дроуга|аго
1842 38,възлюбі|тъ
61,лі
812,едіного
1574 31,дръжі|т
57,сѧ
16,а
11,о
4915 16 44,дроузѣ|а|мъ
46,не
1745 150,брѣ|шті
60 153 620,вь|чь|нетъ
46,не
1898,можете
347,боу
4450,работаті
15,і
105 67 96,ма|мо|нѣ
275,сего
290,раді
223,глѭ
207,вамъ
46,не
287 1566,пь|цѣте
57,сѧ
3250,дшеѭ
3250,дшеѭ
580 2,ваше|ѭ
411,чьто
32 194,ѣ|сте
61,лі
268,что
170 351,пі|ете
43,ні
3427,тѣломъ
1271 13,ваші|м
39,въ
268,что
1667 3124,облѣ|чете
57,сѧ
46,не
1288,дша
61,лі
4579,больші
140,естъ
170 285,пі|штѧ
15,і
699,тѣло
1818 1716,оде|ждѧ
737 4837,възь|ріте
47,на
4024,птіцѧ
1358 387,нбс|нъіѧ
86,ѣко
46,не
122 241,сѣ|ѭтъ
43,ні
206 9 241,жь|н|ѭтъ
43,ні
1855 241,събіра|ѭтъ
39,въ
2321 777,жіть|ніцѫ
15,і
638,оць
1669,вашъ
1358 108,нбс|нъі
3305 217,пітѣ|етъ
23,ѧ
46,не
138,въі
61,лі
458,паче
314 153 1687,лоу|чь|шіі
123,іхъ
805,есте
292,кто
41,же
179,от
449,васъ
211 130,пе|къі
57,сѧ
333 31,може|т
1706 58,пріложі|ті
4605,тѣлесі
1215,своемоу
56 50 128,ла|ко|ть
358,едінъ
15,і
11,о
1818 1471,оде|жді
268,что
211 3124,пе|чете
57,сѧ
3304 65,съмотрі|те
1722 68,крі|нъ
75 121 565,се|лъ|нъііхъ
280,како
53 339 38,ра|стѫ|тъ
43,ні
2989 241,троужда|ѭтъ
57,сѧ
43,ні
4223 146 31,прѧ|дѫ|т
223,глѭ
41,же
207,вамъ
86,ѣко
43,ні
2795 67 9,соло|мо|н
39 797,въ|сеі
2014,славѣ
1339,своеі
4629,облѣче
57,сѧ
86,ѣко
358,едінъ
179,от
616,сіхъ
163,аште
41,же
122 69,сѣ|но
1350,дьнесь
1790 10,сѫште|е
16,а
2820,оутрѣ
39,въ
4766,огнъ
4076 1889,въмѣта|емо
189,бъ
244,тако
2176 217,одѣ|етъ
50 1626,ко|лмі
458,паче
449,васъ
105 322 85,ма|ловѣ|рі
46,не
287 1566,пь|цѣте
57,сѧ
180,оубо
1246,глште
268,что
1850,ѣмъ
61,лі
268,что
170 286,пі|емъ
61,лі
2815,чімъ
1818 191 44,оде|жде|мъ
57,сѧ
1852,всѣхъ
66,бо
616,сіхъ
1287 173,ѧз|ці
4578,іштѫтъ
1042,вѣстъ
66,бо
638,оць
2375,вашь
1358 108,нбс|нъі
86,ѣко
1338 351,трѣбоу|ете
79 8,сі|х
1852,всѣхъ
15 48 3585,і|шт|ѣте
41,же
443,прѣжде
393 675,цр|ства
9 1179,н|бжіѣ
49,го
15,і
2517,правъдъі
102,его
15,і
495,сіі
516,всѣ
78 4289,прі|ложѧтъ
57,сѧ
2271,вам
46,не
1167 388 334,осѫ|жда|іте
55,да
46,не
1770 43,осѫжде|ні
950,бѫдете
3494,імьже
66,бо
145 403,сѫ|домъ
3132,сѫдіте
145 457,сѫ|дѧтъ
207,вамъ
15,і
39,въ
3850,нѭже
133 176,мѣ|рѫ
133 4837,мѣ|ріте
143 133 906,въз|мѣ|рѧтъ
207,вамъ
411,чьто
41,же
1666,відіші
145 72 282,сѫ|че|ць
39,въ
1261 79,оче|сі
2561,брата
587,твоего
16,а
3237 39 47,бръ|въ|на
234,еже
593,есть
39,въ
2261,оцѣ
3391,твоемъ
46,не
405 532,чоу|еші
15,і
280,како
4612,речеші
4412,братоу
1249,твоемоу
550,оставі
55,да
2933 164,ізь|мѫ
145 72 282,сѫ|че|ць
1660,ізъ
4365,очесе
587,твоего
15,і
75,се
3237 3712,бръ|въно
39,въ
1261 79,оче|сі
3391,твоемъ
2851 82,ліцемѣ|ре
2933 89,ізь|мі
2653,пръвѣе
3237 3712,бръ|въно
1660,ізъ
2982,ока
587,твоего
15,і
783,тогда
37 136 85 106,оу|зъ|рі|ші
144 975,із|ѧті
145 72 366,сѫ|че|цъ
2933,ізь
4365,очесе
2561,брата
587,твоего
46,не
1817,дадіте
653,стааго
36 953,п|сомъ
43,ні
51 2260 334,по|мета|іте
141 75 110,бі|се|рь
1533,вашіхъ
319,прѣдъ
1023 236 89,сві|ніѣ|мі
55,да
46,не
3219 2977,попе|рѫтъ
123,іхъ
1314 89,нога|мі
923,своімі
15,і
656 4364,възвра|штьше
57,сѧ
3903 4835,растръ|гнѫтъ
138,въі
2134,просіте
15,і
307,дастъ
57,сѧ
207,вамъ
15 48 3585,і|шт|ѣте
15,і
3156,обрѧштете
31 134 1566,т|ль|цѣте
15,і
2385 38,отвръзе|тъ
57,сѧ
207,вамъ
840 83,въсѣ|къ
66,бо
1519 15,просѧ|і
1732,пріемлетъ
15,і
2731 15,іштѧ|і
1883 217,обрѣта|етъ
15,і
2516 266 1848,тлъ|кѫ|штоумоу
1003 828 31,отвръ|зѫ|т
57,сѧ
224,вьсѣ
685,еліко
1368,хоштете
55,да
1415,творѧтъ
207,вамъ
4452,члці
15,і
138,въі
1192,творіте
114,імъ
830,такожде
75,се
66,бо
140,естъ
1191,законъ
15,і
1681 173,прр|ці
715 498,въні|дѣте
29 198 130 792,ѫ|зь|къі|імі
240 183,вра|тъі
86,ѣко
3303 940,простра|наа
1721,врата
15,і
4901 260,шіро|кь
882,пѫть
39 52 2596,въ|во|дѧі
60,вь
4330,пагоубѫ
15,і
765,мнозі
331,сѫтъ
2216 150,въходѧ|шті
114,імъ
2020,коль
29 198 97,ѫ|зь|ка
1721,врата
15,і
171 75 68,тѣ|се|нъ
882,пѫть
39 52 2596,въ|во|дѧі
39,въ
787,жівотъ
15,і
895,мало
123,іхъ
140,естъ
182,іже
15,і
1883 241,обрѣта|ѭтъ
2051 2799 94 65,въне|мл|лѣ|те
74,отъ
3556 123,лъжі|іхъ
4314,прркъ
182,іже
78 1917,прі|ходѧтъ
260,кь
207,вамъ
39,въ
1818 388 62,оде|жда|хъ
1041 149 123,овь|чі|іхъ
2920 2 181,вънѫтрь|ѭ|доу
41,же
331,сѫтъ
1130 173,влъ|ці
15,і
519 304 475,хъі|шть|ніці
74,отъ
1367,плода
123,іхъ
865 334,позна|іте
23,ѧ
613,еда
1069 521 502,обь|ем|летъ
4099,кьто
179,от
328 236,тръ|ніѣ
527 18 213,гро|з|дъі
61,лі
179,от
464 52 56,трі|во|ла
1156 260 70,смо|кь|ві
244,тако
15,і
346,вьсе
1307,дрѣво
3537,доброе
1591,добръі
1021,плодъ
880,творітъ
16,а
2372 10,зьло|е
1307,дрѣво
198 344 15,зь|лъі|і
1021,плодъ
880,творітъ
46,не
612,можетъ
1307,дрѣво
576,добро
1367,плода
4415,зьла
165 991,творі|творіті
43,ні
1307,дрѣво
2372,зьло
1367,плода
1521,добра
991,творіті
2780,всѣко
1307,дрѣво
234,еже
46,не
880,творітъ
1367,плода
1521,добра
446 241,пока|ѭтъ
10,е
1652,тѣмъ
41,же
180,оубо
179 38,от|тъ
1367,плода
123,іхъ
865 351,позна|ете
23,ѧ
46,не
224 260,вьсѣ|кь
3847,глѧі
485,мнѣ
222,гі
222,гі
46,не
1576 31,въніде|т
39,въ
2405,црство
1358 373,нбс|ное
68,нъ
3088,творѧі
2754,волѭ
539,оца
469,моего
182,іже
593,есть
47,на
3092,нбсхъ
2269,всѣкъ
182,іже
617 31,слъіші|т
898,словеса
460,моѣ
79,сі
15,і
880,творітъ
32,ѣ
3849 417,оуподоб|лѭ
15,і
2688,мѫжоу
164 253,мѫ|дроу
182,іже
54 198 55,съ|зь|да
4176,храмінѫ
554,своѭ
47,на
2306,камене
15,і
4361,съніде
126 599,дь|ждъ
15,і
823,прідѫ
1996,рѣкъі
15,і
4224 16 99,възвѣ|а|шѧ
59 464,вѣ|трі
15,і
1682 146,напа|дѫ
47,на
4176,храмінѫ
345,тѫ
15,і
46,не
879,паде
57,сѧ
3094 47,основа|на
66,бо
103,бѣ
47,на
2306,камене
15,і
516 260,всѣ|кь
182,іже
2335,слъішітъ
898,словеса
460,моѣ
79,сі
15,і
46,не
880,творітъ
2418,іх
3849 417,оуподоб|лѭ
15,і
2688,мѫжоу
347 6,боу|ю
182,іже
131 198 55,сь|зь|да
4176,храмінѫ
554,своѭ
47,на
277 131 162,пѣ|сь|цѣ
15,і
2474 63,сьні|де
126 762,дь|ждь
15,і
823,прідѫ
1996,рѣкъі
15,і
4224 16 99,възвѣ|а|шѧ
59 464,вѣ|трі
15,і
11 287 390,о|пь|рѣшѧ
57,сѧ
2994 96,храмі|нѣ
2091,тоі
15,і
879,паде
57,сѧ
15,і
103,бѣ
3336 1063,раздроу|шеніе
758,еѧ
267 10,велі|е
646,зѣло
15,і
649,бъіс
2051 168,въне|гда
131 4641,сь|конча
98,іс
516,всѣ
898,словеса
495,сіі
2639,дівлѣахѫ
57,сѧ
1178,народі
11,о
2910,оученіі
102,его
103,бѣ
66,бо
1223,оучѧ
23,ѧ
86,ѣко
348 80,вла|стъ
1166,імъі
15,і
46,не
86,ѣко
3464 475,кьніжь|ніці
2786,іхь
15,і
1254,фарісеі
4575 284,съшедъ|шоу
41,же
119,емоу
54,съ
1590,горъі
39,въ
1087,слѣдъ
102,его
478,ідѫ
1178,народі
765,мнозі
15,і
75,се
2013 1609,прока|женъ
3448,прістѫпль
1645 148,кланѣ|аше
57,сѧ
119,емоу
350,глѧ
222,гі
163,аште
1016,хоштеші
1795,можеші
142,мѧ
15 149 1960,і|чі|стіті
15,і
135 80 76,про|стъ|рѣ
944,рѫкѫ
258,ісъ
15,і
1278,коснѫ
15,і
350,глѧ
1614,хоштѫ
15 2356,і|чісті
57,сѧ
15,і
503,абіе
144 2356,із|чісті
57,сѧ
74,отъ
2013 302,прока|зъі
15,і
120,рече
119,емоу
258,ісъ
2557,віждъ
1567,нікомоуже
46,не
4140,повѣждъ
68,нъ
383,шедъ
2344,покажі
57,сѧ
4830,архіереові
15,і
4188,прінесі
1492,даръ
234,еже
370,повелѣ
4879,мосіі
39,въ
1866 161,сьвѣдѣ|ніе
114,імъ
